epoch:0,test_acc:0.18926022946834564, p:0.018926023282012767, recall:0.1,f1_score:0.031828228607515004
epoch:15,test_acc:0.30792340636253357, p:0.17897594501718214, recall:0.22994288928960707,f1_score:0.1578167100261676
epoch:16,test_acc:0.48253849148750305, p:0.3704439844648631, recall:0.4236195219890252,f1_score:0.3524221128356336
epoch:17,test_acc:0.530980110168457, p:0.4835506178217928, recall:0.482674369197864,f1_score:0.44480867228545007
epoch:18,test_acc:0.6244836449623108, p:0.5518557826725016, recall:0.5857370653089884,f1_score:0.5554707589235719
epoch:19,test_acc:0.6575291156768799, p:0.6483218880219356, recall:0.6176426427303499,f1_score:0.5714198562446909
epoch:20,test_acc:0.6733008027076721, p:0.6593049233917521, recall:0.6383126919295743,f1_score:0.6110359415423018
epoch:22,test_acc:0.7048441767692566, p:0.647636218494273, recall:0.6784568981842243,f1_score:0.6514579759129613
epoch:23,test_acc:0.707848310470581, p:0.680582906978791, recall:0.6812563388846902,f1_score:0.6551332937818993
epoch:24,test_acc:0.7668043375015259, p:0.7485574146738203, recall:0.7424813270641836,f1_score:0.74091432380761
epoch:25,test_acc:0.7690574526786804, p:0.7638541191718955, recall:0.7442691654864152,f1_score:0.7389126685991148
epoch:26,test_acc:0.7761922478675842, p:0.7643784072200929, recall:0.7538128610516629,f1_score:0.7548134176770211
epoch:27,test_acc:0.7870822548866272, p:0.7880085254334237, recall:0.7666998173312145,f1_score:0.7651024979273442
epoch:28,test_acc:0.788584291934967, p:0.7757522828858192, recall:0.7681267962167435,f1_score:0.7664468003419102
epoch:29,test_acc:0.8066090941429138, p:0.8245642120556491, recall:0.7858727779114799,f1_score:0.7931095331673944
epoch:31,test_acc:0.8317686915397644, p:0.8235867514482684, recall:0.8140444705270781,f1_score:0.8073316819523292
epoch:33,test_acc:0.8374014496803284, p:0.8329137186085267, recall:0.8218150337515266,f1_score:0.8260142393723768
epoch:34,test_acc:0.8509200215339661, p:0.8367722889553637, recall:0.8368509631096925,f1_score:0.834757267378967
epoch:38,test_acc:0.8546751737594604, p:0.8418768228431268, recall:0.8395571764447227,f1_score:0.8317557065846429
epoch:39,test_acc:0.8693203330039978, p:0.8501480003218678, recall:0.8578815541563122,f1_score:0.8499705733146703
epoch:41,test_acc:0.8764551281929016, p:0.8688905525914826, recall:0.8654722691607711,f1_score:0.8624599469828146
epoch:44,test_acc:0.8967329859733582, p:0.8899724519015957, recall:0.8863406166583682,f1_score:0.8877216637218972
epoch:45,test_acc:0.9128801822662354, p:0.9112727983509246, recall:0.9041955440306694,f1_score:0.9039048782734455
epoch:46,test_acc:0.9237701892852783, p:0.9163681050055658, recall:0.9160888747197967,f1_score:0.9159939576056397
epoch:49,test_acc:0.9342846274375916, p:0.929061942241811, recall:0.9275121107633245,f1_score:0.928080691556261
epoch:50,test_acc:0.9346601366996765, p:0.9289597904247178, recall:0.9287666962763488,f1_score:0.9279612326886101
epoch:51,test_acc:0.9515584111213684, p:0.9467776701706233, recall:0.9469599129732991,f1_score:0.9464986429014675
268.5636556148529 s
