epoch:0,test_acc:0.7502816319465637, p:0.6784860475487899, recall:0.7297470127958409,f1_score:0.6979361004631212
epoch:1,test_acc:0.7615471482276917, p:0.7216622947581366, recall:0.7392459158021162,f1_score:0.6938723909988752
epoch:2,test_acc:0.8302665948867798, p:0.8207284299690446, recall:0.8169275799074912,f1_score:0.816247134028399
epoch:3,test_acc:0.8839654326438904, p:0.8756663083770073, recall:0.8771477784923725,f1_score:0.8732812821017955
epoch:4,test_acc:0.8956064581871033, p:0.8961591340003568, recall:0.8868085056483217,f1_score:0.8824769320422252
epoch:5,test_acc:0.8986105918884277, p:0.8904984891556046, recall:0.8948662903628813,f1_score:0.8921271603934041
epoch:6,test_acc:0.9158843159675598, p:0.9123637231964873, recall:0.9112922272875966,f1_score:0.9105498173970688
epoch:7,test_acc:0.9233946800231934, p:0.920633015948743, recall:0.9177998274819332,f1_score:0.9184454771099142
epoch:10,test_acc:0.9380397796630859, p:0.9338852521155048, recall:0.9352088564796688,f1_score:0.934249038650331
epoch:16,test_acc:0.9384153485298157, p:0.9381947180655998, recall:0.9333302643415939,f1_score:0.9345087372433241
epoch:18,test_acc:0.9549380540847778, p:0.9521827707050878, recall:0.9526379485433234,f1_score:0.9523840291630249
epoch:25,test_acc:0.9560645818710327, p:0.9541800975175498, recall:0.9550299109744517,f1_score:0.9540194738751927
epoch:27,test_acc:0.9571911096572876, p:0.9571656726643027, recall:0.9537786106465583,f1_score:0.9552420324431132
epoch:33,test_acc:0.9609463214874268, p:0.959582291389075, recall:0.9578310955073512,f1_score:0.9584956015752383
epoch:35,test_acc:0.9624483585357666, p:0.9623823597177749, recall:0.9592341952279941,f1_score:0.9604466398245375
epoch:37,test_acc:0.9673300981521606, p:0.9681775036570549, recall:0.9652139244925613,f1_score:0.9664734390969203
301.71458077430725 s
