epoch:0,test_acc:0.5617724657058716, p:0.4742204516808082, recall:0.5463249371907618,f1_score:0.46953103495257176
epoch:1,test_acc:0.5970709919929504, p:0.46950711983797244, recall:0.5531380474130839,f1_score:0.47220722560465267
epoch:2,test_acc:0.6631618738174438, p:0.6079595791547743, recall:0.6252562581516444,f1_score:0.553911780835673
epoch:3,test_acc:0.6736763119697571, p:0.5877868819277884, recall:0.6357211725508727,f1_score:0.5825441023470483
epoch:4,test_acc:0.6943296790122986, p:0.5954107137084372, recall:0.6601288800360552,f1_score:0.5972648898623973
epoch:5,test_acc:0.7300037741661072, p:0.7444422454409084, recall:0.7002477000159077,f1_score:0.6660559170349469
epoch:6,test_acc:0.7450243830680847, p:0.6557005212673743, recall:0.7157829703568708,f1_score:0.6764105094785225
epoch:7,test_acc:0.7728126049041748, p:0.7486643681845576, recall:0.7474554706381886,f1_score:0.7053605714920745
epoch:8,test_acc:0.7927149534225464, p:0.7532225936625696, recall:0.7695893749451804,f1_score:0.7460482916208357
epoch:9,test_acc:0.8032294511795044, p:0.7768628847552401, recall:0.780144095247049,f1_score:0.7505969180598442
epoch:11,test_acc:0.8374014496803284, p:0.821223545707609, recall:0.8251471904892108,f1_score:0.8075760015436536
epoch:12,test_acc:0.8426586389541626, p:0.8236352215345175, recall:0.8302278418293285,f1_score:0.8209493244528183
epoch:13,test_acc:0.856928288936615, p:0.849728542175003, recall:0.8479586011868886,f1_score:0.8458392899973063
epoch:14,test_acc:0.8685692548751831, p:0.8615036224082301, recall:0.8597778030905312,f1_score:0.8573095331036891
epoch:15,test_acc:0.8730754852294922, p:0.8754604221323188, recall:0.8635324767334687,f1_score:0.8637657351769417
epoch:18,test_acc:0.8843409419059753, p:0.8724846726938861, recall:0.8766896615602373,f1_score:0.8733218240058775
epoch:19,test_acc:0.9049943685531616, p:0.8963287520626823, recall:0.8981130068037857,f1_score:0.8966610140588092
epoch:26,test_acc:0.914006769657135, p:0.9069356409838802, recall:0.906619813314315,f1_score:0.9064726601392202
epoch:29,test_acc:0.9177619218826294, p:0.9162456063382345, recall:0.9115006619732131,f1_score:0.9113575389537528
epoch:31,test_acc:0.9222680926322937, p:0.9186256596740984, recall:0.9153878713707433,f1_score:0.9163877390738655
epoch:32,test_acc:0.9342846274375916, p:0.9313625654485197, recall:0.9278543858194108,f1_score:0.9288282317185965
epoch:33,test_acc:0.9350356459617615, p:0.9298603769505756, recall:0.9294850520943723,f1_score:0.9293937999897398
epoch:34,test_acc:0.9414194226264954, p:0.9385959035465697, recall:0.9385449840048021,f1_score:0.93782252522291
epoch:37,test_acc:0.9463011622428894, p:0.9420689960787652, recall:0.9423905962995806,f1_score:0.9412698707516155
epoch:43,test_acc:0.9519339203834534, p:0.9497366882558473, recall:0.9484388891288489,f1_score:0.9486159070532898
epoch:45,test_acc:0.9523094296455383, p:0.9512967911209209, recall:0.9492930346580326,f1_score:0.9492179046006484
epoch:50,test_acc:0.9594442248344421, p:0.9578801921559131, recall:0.9557061241232496,f1_score:0.9564990745378316
epoch:52,test_acc:0.9609463214874268, p:0.9568937886662425, recall:0.9581334336224965,f1_score:0.9574674433306694
epoch:57,test_acc:0.9620728492736816, p:0.9586572532817496, recall:0.9596400180348018,f1_score:0.958948475244988
epoch:62,test_acc:0.9628238677978516, p:0.9610592233422917, recall:0.9592510468720434,f1_score:0.9598023978806497
epoch:68,test_acc:0.9692076444625854, p:0.9662985016978893, recall:0.9663590084052551,f1_score:0.9661434841416614
epoch:74,test_acc:0.971085250377655, p:0.968723747598942, recall:0.9690299082743705,f1_score:0.968719946223565
epoch:75,test_acc:0.9722117781639099, p:0.9711835813933327, recall:0.9696216201631872,f1_score:0.9694624839156226
epoch:80,test_acc:0.9733383655548096, p:0.9709122294041317, recall:0.9709978263528368,f1_score:0.9706239123825394
627.8608665466309 s
