epoch:0,test_acc:0.5381149053573608, p:0.5691442620110305, recall:0.4976254802085654,f1_score:0.41855138532937664
epoch:1,test_acc:0.560270369052887, p:0.479277517509221, recall:0.5185725180215811,f1_score:0.471363186912646
epoch:2,test_acc:0.6695456504821777, p:0.6252653260188616, recall:0.6316951437640121,f1_score:0.5753454917811343
epoch:5,test_acc:0.6856928467750549, p:0.6009858487086953, recall:0.653500511448512,f1_score:0.5893980075441263
epoch:7,test_acc:0.6984604001045227, p:0.6293709934484754, recall:0.6682797951941093,f1_score:0.6442086615833219
epoch:8,test_acc:0.7641757130622864, p:0.721265717589363, recall:0.744412149446305,f1_score:0.7108899613693794
epoch:9,test_acc:0.7720615863800049, p:0.7222585466763378, recall:0.7539745500097781,f1_score:0.7221849326818726
epoch:10,test_acc:0.7806984782218933, p:0.7029259289758264, recall:0.7602060715842154,f1_score:0.7258252184077743
epoch:11,test_acc:0.7964701652526855, p:0.7640971723293613, recall:0.7731876104647273,f1_score:0.7374920996858303
epoch:15,test_acc:0.8047314882278442, p:0.7762800486307422, recall:0.782350053513565,f1_score:0.760151814058371
epoch:16,test_acc:0.8073601126670837, p:0.7858630883783266, recall:0.7871500009001543,f1_score:0.7685364342583169
epoch:18,test_acc:0.8302665948867798, p:0.8151963406527016, recall:0.8112094454378298,f1_score:0.8054999061784057
epoch:19,test_acc:0.8313931822776794, p:0.810408945185553, recall:0.8170216611859489,f1_score:0.8065277542836142
epoch:20,test_acc:0.8456627726554871, p:0.8287464975097475, recall:0.8310127279490844,f1_score:0.82696569347017
epoch:21,test_acc:0.8666917085647583, p:0.8514772590134001, recall:0.8558794702132223,f1_score:0.8523874459879874
epoch:25,test_acc:0.8674427270889282, p:0.8688691245514757, recall:0.8601142670850372,f1_score:0.8610526019859304
epoch:26,test_acc:0.8757041096687317, p:0.8692832090845768, recall:0.8668804762483153,f1_score:0.8654618086893905
epoch:28,test_acc:0.8914757966995239, p:0.8840884967318814, recall:0.8853886759490438,f1_score:0.8839123187282295
epoch:30,test_acc:0.8926023244857788, p:0.8810285950733865, recall:0.8844198166540866,f1_score:0.8809490026315971
epoch:36,test_acc:0.9042433500289917, p:0.8982081605195971, recall:0.8999039741026991,f1_score:0.8986734446398714
epoch:37,test_acc:0.9095005393028259, p:0.9037304804896887, recall:0.9025597409444608,f1_score:0.902190266779557
epoch:38,test_acc:0.9267743229866028, p:0.9211224031856495, recall:0.9211884200183557,f1_score:0.9207786574991479
epoch:44,test_acc:0.9290274381637573, p:0.9312739521619605, recall:0.9252717408466872,f1_score:0.9248311144079209
epoch:47,test_acc:0.936913251876831, p:0.9339165179740008, recall:0.9338163753612477,f1_score:0.9330945087705487
epoch:53,test_acc:0.9380397796630859, p:0.9350979739016806, recall:0.9328380604284451,f1_score:0.9334842751169129
epoch:54,test_acc:0.9451746344566345, p:0.9457586829799144, recall:0.9399078682896349,f1_score:0.9421864786912668
epoch:57,test_acc:0.948554277420044, p:0.9478217505875419, recall:0.9437873056694104,f1_score:0.9456370759525523
epoch:63,test_acc:0.9489297866821289, p:0.9471943260462241, recall:0.9474276132760225,f1_score:0.9468721960318758
epoch:64,test_acc:0.9496808052062988, p:0.9466972660163812, recall:0.9477613542090431,f1_score:0.9463298658478705
epoch:66,test_acc:0.9515584111213684, p:0.948468964214948, recall:0.9508050614048559,f1_score:0.94928421744707
epoch:67,test_acc:0.9568156003952026, p:0.9549451303087038, recall:0.9538022186322923,f1_score:0.9542316426963389
epoch:72,test_acc:0.9631993770599365, p:0.9619411847560558, recall:0.9603112230317523,f1_score:0.9607560289959369
578.0758564472198 s
