epoch:0,test_acc:0.3623732626438141, p:0.21036005379298936, recall:0.2905121881388538,f1_score:0.22041073715010345
epoch:1,test_acc:0.43710100650787354, p:0.3121111742141016, recall:0.38456411369464105,f1_score:0.29742893745336474
epoch:2,test_acc:0.5073225498199463, p:0.5269635462626349, recall:0.46380603196266723,f1_score:0.38717111505337953
epoch:3,test_acc:0.5985730290412903, p:0.5009299243201026, recall:0.5775947426469666,f1_score:0.5126610893839739
epoch:5,test_acc:0.646263599395752, p:0.5673822851297479, recall:0.6199593318815577,f1_score:0.5771312774936705
epoch:6,test_acc:0.6841907501220703, p:0.5996656536044037, recall:0.6587617337003968,f1_score:0.6046917536337786
epoch:8,test_acc:0.7450243830680847, p:0.6854871539318094, recall:0.7339700197352094,f1_score:0.7020789050950946
epoch:9,test_acc:0.7615471482276917, p:0.6855571003048977, recall:0.7393765904009363,f1_score:0.7061061773408668
epoch:12,test_acc:0.7934660315513611, p:0.7208499345796998, recall:0.7792359536026678,f1_score:0.7344368884656582
epoch:18,test_acc:0.8021028637886047, p:0.7659160638418582, recall:0.781901506045755,f1_score:0.7638417383236124
epoch:19,test_acc:0.8220052719116211, p:0.8039251546753207, recall:0.8036233759275833,f1_score:0.7892873255695588
epoch:24,test_acc:0.8276380300521851, p:0.8093937007386882, recall:0.8084795806664629,f1_score:0.8014191457823638
epoch:27,test_acc:0.8343973159790039, p:0.8232985435787367, recall:0.8209731194523526,f1_score:0.8099759053733837
epoch:28,test_acc:0.8419076204299927, p:0.8380938114593762, recall:0.8271018949064752,f1_score:0.8219008113421991
epoch:29,test_acc:0.8467893600463867, p:0.8397242780844444, recall:0.8340117336395257,f1_score:0.828689039176943
epoch:30,test_acc:0.8475403785705566, p:0.8328469342106924, recall:0.8332072961700394,f1_score:0.827733542921273
epoch:32,test_acc:0.8542996644973755, p:0.8344968461644692, recall:0.8404313626385624,f1_score:0.8298131979413356
epoch:33,test_acc:0.8580548167228699, p:0.849374919186392, recall:0.8500807505092085,f1_score:0.8420042066994975
epoch:34,test_acc:0.8730754852294922, p:0.8673339006107046, recall:0.862426200192848,f1_score:0.8531699322483233
epoch:35,test_acc:0.8783327341079712, p:0.8707892532175141, recall:0.8695975928407597,f1_score:0.86115950931584
epoch:36,test_acc:0.8865940570831299, p:0.879451276644269, recall:0.878970792981997,f1_score:0.8769925420263174
epoch:37,test_acc:0.8933533430099487, p:0.8847614074647986, recall:0.8899195790902732,f1_score:0.8866677062731402
epoch:38,test_acc:0.8963574767112732, p:0.8928091902328237, recall:0.8871941706783175,f1_score:0.8891577327982707
epoch:39,test_acc:0.9046188592910767, p:0.9019882144967646, recall:0.8993123852599613,f1_score:0.8991979107664818
epoch:40,test_acc:0.9162598848342896, p:0.9086376349089, recall:0.9095311850155934,f1_score:0.9079269358658942
epoch:45,test_acc:0.9188884496688843, p:0.9160372121909566, recall:0.9141603387036772,f1_score:0.9145713756844904
epoch:47,test_acc:0.931656002998352, p:0.9284437362025735, recall:0.9266706779732022,f1_score:0.9253629834776624
epoch:49,test_acc:0.9331580996513367, p:0.9300178605864178, recall:0.9311454720617979,f1_score:0.9294900660149619
epoch:51,test_acc:0.9350356459617615, p:0.9326202489194781, recall:0.9295162399784923,f1_score:0.9303174405515545
epoch:52,test_acc:0.9444235563278198, p:0.9420184863708169, recall:0.9423387581566811,f1_score:0.939843415903901
epoch:58,test_acc:0.9549380540847778, p:0.9541020874225836, recall:0.9512518742050942,f1_score:0.9521898952697555
epoch:62,test_acc:0.9556890726089478, p:0.9533774425898438, recall:0.9520471598667728,f1_score:0.9524930458012145
epoch:70,test_acc:0.9590687155723572, p:0.9561614490315675, recall:0.9571624961325412,f1_score:0.9564730464224273
epoch:75,test_acc:0.9601952433586121, p:0.9577987256743592, recall:0.9568869754355631,f1_score:0.9568975232520213
epoch:76,test_acc:0.9620728492736816, p:0.9590741122544844, recall:0.9590628519861797,f1_score:0.95905546307843
epoch:85,test_acc:0.9624483585357666, p:0.9628649338499121, recall:0.9587859493390851,f1_score:0.9603262605174592
epoch:96,test_acc:0.9647014737129211, p:0.9628985934059482, recall:0.9612471398528555,f1_score:0.9617353269102008
epoch:97,test_acc:0.9684566259384155, p:0.9666452595751597, recall:0.9659799805237774,f1_score:0.9660972803947393
749.5434079170227 s
