epoch:0,test_acc:0.7675554156303406, p:0.8143355660721208, recall:0.7563534572278329,f1_score:0.75076162477663
epoch:1,test_acc:0.8445362448692322, p:0.8655389002759233, recall:0.8362298987027288,f1_score:0.8356765241217264
epoch:2,test_acc:0.9177619218826294, p:0.9146624723449406, recall:0.9097697363549291,f1_score:0.9095989360057442
epoch:5,test_acc:0.9361622333526611, p:0.9355734254102431, recall:0.9392085794734774,f1_score:0.9355342124872562
epoch:8,test_acc:0.9406684041023254, p:0.9471065265376317, recall:0.9334066492450639,f1_score:0.9372090690175774
epoch:10,test_acc:0.9474276900291443, p:0.9479719272171094, recall:0.9423077272067364,f1_score:0.9424057258919858
epoch:13,test_acc:0.9519339203834534, p:0.9533030404206826, recall:0.9470136149227013,f1_score:0.9492325326363673
epoch:16,test_acc:0.9568156003952026, p:0.9571723570475991, recall:0.9529572895572318,f1_score:0.9540389436095117
epoch:18,test_acc:0.9586932063102722, p:0.9586536193860633, recall:0.9558807784954052,f1_score:0.9567261732177774
epoch:21,test_acc:0.9609463214874268, p:0.9635118925625579, recall:0.9576088418090813,f1_score:0.9590994267460253
232.3494999408722 s
